Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Provoked,United States,Massachusetts,Fishing,M,21,No,July,2025,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,40,No,July,2025,Great White Shark,Arm
Unprovoked,South Africa,KwaZulu-Natal,Fishing,M,37,Yes,July,2025,Unknown,Body / Abdomen
Unprovoked,Australia,New South Wales,Swimming,M,16,No,June,2025,Bull Shark,Leg / Foot
Unprovoked,United States,Rhode Island,Swimming,F,20,No,June,2025,Tiger Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,F,,No,June,2025,Great White Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,F,12,No,June,2025,Unknown,Leg / Foot
Unprovoked,United States,Florida,Diving,F,9,No,,2025,Bull Shark,Hand / Fingers
Unprovoked,United States,California,Surfing,M,42,No,May,2025,Unknown,Unspecified / Multiple
Unprovoked,United States,North Carolina,Swimming,M,26,No,,2025,Unknown,Leg / Foot
Unprovoked,Vanuatu,South Santo,Swimming,M,14,Yes,,2025,Unknown,Leg / Foot
Unprovoked,Australia,South Australia,Swimming,M,66,No,,2025,Unknown,Leg / Foot
Unprovoked,Jamaica,Montego Bay,Swimming,F,26,No,,2025,Tiger Shark,Hand / Fingers
Unprovoked,Israel,Hadera,Diving,M,45,Yes,,2025,Dusky Shark,Unspecified / Multiple
Unconfirmed,Mexico,Quntana Roo,Surfing,M,20,Yes,,2025,Unknown,Unspecified / Multiple
Unprovoked,Maldives,Kulhudhuffushi City,Diving,M,30,No,,2025,Unknown,Shoulder
Unprovoked,United States,Florida,Other,M,,No,,2025,Unknown,Arm
Unprovoked,Australia,New South Wales,Swimming,M,,No,,2025,Tiger Shark,Body / Abdomen
Unprovoked,Australia,New South Wales,Surfing,M,37,Yes,,2025,Great White Shark,Body / Abdomen
Unprovoked,Australia,New South Wales,Swimming,F,56,No,,2025,Bull Shark,Unspecified / Multiple
Unprovoked,Australia,Victoria,Swimming,M,,No,,2025,Unknown,Leg / Foot
Unconfirmed,Philippines,Batangas Resort,Diving,M,29,Yes,February,2025,Unknown,Arm
Unprovoked,Australia,Western Australia,Boating,F,35,No,,2025,Unknown,Unspecified / Multiple
Unconfirmed,Australia,New South Wales,Fishing,M,58,Yes,,2025,Mako Shark,Body / Abdomen
Unprovoked,Australia,Queensland,Diving,M,29,No,,2025,Unknown,Leg / Foot
Unprovoked,Bahamas,,Swimming,F,24,No,,2025,Bull Shark,Leg / Foot
Unprovoked,Bahamas,,Swimming,F,20,No,,2025,Bull Shark,Unspecified / Multiple
Unprovoked,Turks and Caicos Islands,Near five Cays settlement West Caicos,Swimming,F,55,No,,2025,Bull Shark,Leg / Foot
Unprovoked,Australia,Queensland,Swimming,F,17,Yes,,2025,Bull Shark,Arm
Unprovoked,Australia,Western Australia,Swimming,M,12,No,,2025,Unknown,Body / Abdomen
Unprovoked,Australia,Western Australia,Surfing,M,37,No,,2025,Unknown,Unspecified / Multiple
Unprovoked,Mozambique,Inhambane Province,Fishing,M,36,Yes,,2025,Unknown,Leg / Foot
Provoked,United States,Hawaii,Diving,M,23,No,,2025,Unknown,Arm
Unprovoked,New Caledonia,Grande Terre,Fishing,M,40,Yes,,2025,Bull Shark,Arm
Unprovoked,Australia,South Australia,Surfing,M,28,Yes,,2025,Unknown,Body / Abdomen
Unprovoked,Mozambique,?,Diving,M,,Yes,,2024,Unknown,Unspecified / Multiple
Unprovoked,Egypt,North of Marsa Alam,Diving,M,69,No,,2024,Tiger Shark,Body / Abdomen
Unprovoked,Egypt,North of Marsa Alam,Diving,M,48,Yes,,2024,Tiger Shark,Leg / Foot
Unprovoked,Australia,Queensland,Fishing,M,40,Yes,,2024,Unknown,Arm
Unprovoked,Australia,Queensland,Fishing,M,,No,,2024,Unknown,Arm
Unprovoked,Australia,Western Australia,Surfing,M,,No,,2024,Unknown,Unspecified / Multiple
Unprovoked,Thailand,Phang Nga Province,Swimming,F,57,No,,2024,Unknown,Leg / Foot
Unprovoked,New Zealand,Bay of Waitangi,Diving,M,24,Yes,,2024,Great White Shark,Unspecified / Multiple
Unprovoked,Maldives,Kaafu,Diving,F,45,No,,2024,Unknown,Unspecified / Multiple
Unprovoked,Haiti,Maui,Surfing,M,61,No,,2024,Unknown,Leg / Foot
Unprovoked,Australia,Queensland,Diving,F,57,No,,2024,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,27,No,,2024,Unknown,Unspecified / Multiple
Unprovoked,Honduras,Tela,Swimming,M,38,No,,2024,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,16,No,,2024,Bull Shark,Arm
Unconfirmed,Indonesia,Timor Leste,Diving,F,68,Yes,,2024,Tiger Shark,Unspecified / Multiple
Unprovoked,Honduras,Trujillo Colon,Diving,M,33,No,,2024,Bull Shark,Leg / Foot
Unprovoked,Morocco,Southern Morocco,Swimming,F,30,Yes,,2024,Unknown,Leg / Foot
Unprovoked,Jamaica,Montego Bay,Fishing,M,16,Yes,,2024,Tiger Shark,Leg / Foot
Unprovoked,Belize,Gulf of Honduras,Swimming,F,15,No,,2024,Reef Shark,Leg / Foot
